"dim_film_key";"actor_key";"film_key";"language_key";"first_name";"last_name";"title";"description";"release_year";"rental_duration";"rental_rate";"length";"replacement_cost";"rating";"special_features"
30;1;1;1;"PENELOPE";"GUINESS";"ACADEMY DINOSAUR";"A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies";"2006";6;0.99;86;20.99;"PG";"Deleted Scenes,Behind the Scenes"
31;10;1;1;"CHRISTIAN";"GABLE";"ACADEMY DINOSAUR";"A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies";"2006";6;0.99;86;20.99;"PG";"Deleted Scenes,Behind the Scenes"
32;20;1;1;"LUCILLE";"TRACY";"ACADEMY DINOSAUR";"A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies";"2006";6;0.99;86;20.99;"PG";"Deleted Scenes,Behind the Scenes"
33;30;1;1;"SANDRA";"PECK";"ACADEMY DINOSAUR";"A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies";"2006";6;0.99;86;20.99;"PG";"Deleted Scenes,Behind the Scenes"
34;40;1;1;"JOHNNY";"CAGE";"ACADEMY DINOSAUR";"A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies";"2006";6;0.99;86;20.99;"PG";"Deleted Scenes,Behind the Scenes"
35;53;1;1;"MENA";"TEMPLE";"ACADEMY DINOSAUR";"A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies";"2006";6;0.99;86;20.99;"PG";"Deleted Scenes,Behind the Scenes"
36;108;1;1;"WARREN";"NOLTE";"ACADEMY DINOSAUR";"A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies";"2006";6;0.99;86;20.99;"PG";"Deleted Scenes,Behind the Scenes"
37;162;1;1;"OPRAH";"KILMER";"ACADEMY DINOSAUR";"A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies";"2006";6;0.99;86;20.99;"PG";"Deleted Scenes,Behind the Scenes"
38;188;1;1;"ROCK";"DUKAKIS";"ACADEMY DINOSAUR";"A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies";"2006";6;0.99;86;20.99;"PG";"Deleted Scenes,Behind the Scenes"
39;198;1;1;"MARY";"KEITEL";"ACADEMY DINOSAUR";"A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies";"2006";6;0.99;86;20.99;"PG";"Deleted Scenes,Behind the Scenes"
40;19;2;1;"BOB";"FAWCETT";"ACE GOLDFINGER";"A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China";"2006";3;4.99;48;12.99;"G";"Trailers,Deleted Scenes"
41;85;2;1;"MINNIE";"ZELLWEGER";"ACE GOLDFINGER";"A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China";"2006";3;4.99;48;12.99;"G";"Trailers,Deleted Scenes"
42;90;2;1;"SEAN";"GUINESS";"ACE GOLDFINGER";"A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China";"2006";3;4.99;48;12.99;"G";"Trailers,Deleted Scenes"
43;160;2;1;"CHRIS";"DEPP";"ACE GOLDFINGER";"A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China";"2006";3;4.99;48;12.99;"G";"Trailers,Deleted Scenes"
44;2;3;1;"NICK";"WAHLBERG";"ADAPTATION HOLES";"A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory";"2006";7;2.99;50;18.99;"NC-17";"Trailers,Deleted Scenes"
45;19;3;1;"BOB";"FAWCETT";"ADAPTATION HOLES";"A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory";"2006";7;2.99;50;18.99;"NC-17";"Trailers,Deleted Scenes"
46;24;3;1;"CAMERON";"STREEP";"ADAPTATION HOLES";"A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory";"2006";7;2.99;50;18.99;"NC-17";"Trailers,Deleted Scenes"
