"facts_key";"rental_key";"inventory_key";"title";"release_year";"length";"rental_date";"rental_duration";"rental_rate";"replacement_cost"
606;4863;1;"ACADEMY DINOSAUR";"2006";86;"2005-07-08 19:03:15";6;0.99;20.99
607;11433;1;"ACADEMY DINOSAUR";"2006";86;"2005-08-02 20:13:10";6;0.99;20.99
608;14714;1;"ACADEMY DINOSAUR";"2006";86;"2005-08-21 21:27:43";6;0.99;20.99
609;972;2;"ACADEMY DINOSAUR";"2006";86;"2005-05-30 20:21:07";6;0.99;20.99
610;2117;2;"ACADEMY DINOSAUR";"2006";86;"2005-06-17 20:24:00";6;0.99;20.99
611;4187;2;"ACADEMY DINOSAUR";"2006";86;"2005-07-07 10:41:31";6;0.99;20.99
612;9449;2;"ACADEMY DINOSAUR";"2006";86;"2005-07-30 22:02:34";6;0.99;20.99
613;15453;2;"ACADEMY DINOSAUR";"2006";86;"2005-08-23 01:01:01";6;0.99;20.99
614;10126;3;"ACADEMY DINOSAUR";"2006";86;"2005-07-31 21:36:07";6;0.99;20.99
615;15421;3;"ACADEMY DINOSAUR";"2006";86;"2005-08-22 23:56:37";6;0.99;20.99
616;10883;4;"ACADEMY DINOSAUR";"2006";86;"2005-08-02 00:47:19";6;0.99;20.99
617;14624;4;"ACADEMY DINOSAUR";"2006";86;"2005-08-21 18:32:42";6;0.99;20.99
618;0;5;"ACADEMY DINOSAUR";"2006";86;"";6;0.99;20.99
619;361;6;"ACADEMY DINOSAUR";"2006";86;"2005-05-27 07:03:28";6;0.99;20.99
620;3201;6;"ACADEMY DINOSAUR";"2006";86;"2005-06-21 00:30:26";6;0.99;20.99
621;4390;6;"ACADEMY DINOSAUR";"2006";86;"2005-07-07 20:59:06";6;0.99;20.99
622;7168;6;"ACADEMY DINOSAUR";"2006";86;"2005-07-27 07:51:11";6;0.99;20.99
623;14098;6;"ACADEMY DINOSAUR";"2006";86;"2005-08-21 00:30:32";6;0.99;20.99
624;1210;7;"ACADEMY DINOSAUR";"2006";86;"2005-06-15 02:57:51";6;0.99;20.99
625;5766;7;"ACADEMY DINOSAUR";"2006";86;"2005-07-10 13:07:31";6;0.99;20.99
626;8510;7;"ACADEMY DINOSAUR";"2006";86;"2005-07-29 09:41:38";6;0.99;20.99
627;14798;7;"ACADEMY DINOSAUR";"2006";86;"2005-08-22 00:44:08";6;0.99;20.99
628;10141;8;"ACADEMY DINOSAUR";"2006";86;"2005-07-31 22:08:29";6;0.99;20.99
629;12651;8;"ACADEMY DINOSAUR";"2006";86;"2005-08-18 18:36:16";6;0.99;20.99
630;10310;9;"ACE GOLDFINGER";"2006";48;"2005-08-01 04:24:47";3;4.99;12.99
631;13421;9;"ACE GOLDFINGER";"2006";48;"2006-02-14 15:16:03";3;4.99;12.99
632;4364;10;"ACE GOLDFINGER";"2006";48;"2005-07-07 19:46:51";3;4.99;12.99
633;7733;10;"ACE GOLDFINGER";"2006";48;"2005-07-28 05:04:47";3;4.99;12.99
634;15218;10;"ACE GOLDFINGER";"2006";48;"2005-08-22 16:59:05";3;4.99;12.99
635;10992;11;"ACE GOLDFINGER";"2006";48;"2005-08-02 04:41:17";3;4.99;12.99
636;11758;11;"ACE GOLDFINGER";"2006";48;"2005-08-17 09:33:02";3;4.99;12.99
637;6999;12;"ADAPTATION HOLES";"2006";50;"2005-07-27 01:21:19";7;2.99;18.99
638;14882;12;"ADAPTATION HOLES";"2006";50;"2005-08-22 03:52:21";7;2.99;18.99
639;11306;13;"ADAPTATION HOLES";"2006";50;"2005-08-02 15:45:10";7;2.99;18.99
640;15788;13;"ADAPTATION HOLES";"2006";50;"2005-08-23 13:54:39";7;2.99;18.99
641;1033;14;"ADAPTATION HOLES";"2006";50;"2005-05-31 04:50:07";7;2.99;18.99
642;1427;14;"ADAPTATION HOLES";"2006";50;"2005-06-15 18:17:28";7;2.99;18.99
643;3897;14;"ADAPTATION HOLES";"2006";50;"2005-07-06 19:11:43";7;2.99;18.99
644;10437;14;"ADAPTATION HOLES";"2006";50;"2005-08-01 08:51:04";7;2.99;18.99
645;11845;14;"ADAPTATION HOLES";"2006";50;"2005-08-17 13:16:38";7;2.99;18.99
646;3956;15;"ADAPTATION HOLES";"2006";50;"2005-07-06 22:01:51";7;2.99;18.99
647;7586;15;"ADAPTATION HOLES";"2006";50;"2005-07-27 23:19:29";7;2.99;18.99
648;12727;15;"ADAPTATION HOLES";"2006";50;"2005-08-18 21:45:15";7;2.99;18.99
649;6493;16;"AFFAIR PREJUDICE";"2006";117;"2005-07-12 02:40:41";5;2.99;26.99
650;8931;16;"AFFAIR PREJUDICE";"2006";117;"2005-07-30 02:30:07";5;2.99;26.99
651;15352;16;"AFFAIR PREJUDICE";"2006";117;"2005-08-22 21:16:54";5;2.99;26.99
652;995;17;"AFFAIR PREJUDICE";"2006";117;"2005-05-31 00:06:02";5;2.99;26.99
653;2090;17;"AFFAIR PREJUDICE";"2006";117;"2005-06-17 18:06:14";5;2.99;26.99
654;5682;17;"AFFAIR PREJUDICE";"2006";117;"2005-07-10 08:51:39";5;2.99;26.99
655;6970;17;"AFFAIR PREJUDICE";"2006";117;"2005-07-27 00:26:14";5;2.99;26.99
656;11714;17;"AFFAIR PREJUDICE";"2006";117;"2005-08-17 07:34:55";5;2.99;26.99
657;8331;18;"AFFAIR PREJUDICE";"2006";117;"2005-07-29 04:13:29";5;2.99;26.99
658;15199;18;"AFFAIR PREJUDICE";"2006";117;"2005-08-22 16:17:49";5;2.99;26.99
659;3506;19;"AFFAIR PREJUDICE";"2006";117;"2005-07-06 00:22:29";5;2.99;26.99
660;9863;19;"AFFAIR PREJUDICE";"2006";117;"2005-07-31 13:05:29";5;2.99;26.99
661;15174;19;"AFFAIR PREJUDICE";"2006";117;"2005-08-22 15:26:36";5;2.99;26.99
662;465;20;"AFFAIR PREJUDICE";"2006";117;"2005-05-27 20:44:36";5;2.99;26.99
663;1716;20;"AFFAIR PREJUDICE";"2006";117;"2005-06-16 14:39:31";5;2.99;26.99
664;4789;20;"AFFAIR PREJUDICE";"2006";117;"2005-07-08 16:22:01";5;2.99;26.99
665;12726;20;"AFFAIR PREJUDICE";"2006";117;"2005-08-18 21:44:46";5;2.99;26.99
666;6348;21;"AFFAIR PREJUDICE";"2006";117;"2005-07-11 20:21:18";5;2.99;26.99
667;9359;21;"AFFAIR PREJUDICE";"2006";117;"2005-07-30 18:39:28";5;2.99;26.99
668;15542;21;"AFFAIR PREJUDICE";"2006";117;"2006-02-14 15:16:03";5;2.99;26.99
669;4802;22;"AFFAIR PREJUDICE";"2006";117;"2005-07-08 16:55:17";5;2.99;26.99
670;8002;22;"AFFAIR PREJUDICE";"2006";117;"2005-07-28 15:11:00";5;2.99;26.99
671;13943;22;"AFFAIR PREJUDICE";"2006";117;"2005-08-20 17:31:18";5;2.99;26.99
672;552;23;"AFRICAN EGG";"2006";130;"2005-05-28 07:53:38";6;2.99;22.99
673;1614;23;"AFRICAN EGG";"2006";130;"2005-06-16 06:58:02";6;2.99;22.99
674;6615;23;"AFRICAN EGG";"2006";130;"2005-07-12 08:36:22";6;2.99;22.99
675;11129;23;"AFRICAN EGG";"2006";130;"2005-08-02 09:08:44";6;2.99;22.99
676;12926;23;"AFRICAN EGG";"2006";130;"2005-08-19 05:00:16";6;2.99;22.99
677;2255;24;"AFRICAN EGG";"2006";130;"2005-06-18 05:21:12";6;2.99;22.99
678;5362;24;"AFRICAN EGG";"2006";130;"2005-07-09 18:16:08";6;2.99;22.99
679;7793;24;"AFRICAN EGG";"2006";130;"2005-07-28 07:26:14";6;2.99;22.99
680;13043;24;"AFRICAN EGG";"2006";130;"2005-08-19 09:07:13";6;2.99;22.99
681;5030;25;"AFRICAN EGG";"2006";130;"2005-07-09 02:35:43";6;2.99;22.99
